sido,sigungu,dong,adm_cd,corp_cnt,tot_worker,lat,lon
서울특별시,구로구,구로2동,11170710,9346,31437,37.496821,126.883772
경기도,화성시,정남면,31240430,6540,30986,37.161879,126.986031
서울특별시,서초구,서초4동,11220540,4211,30822,37.498967,127.01983
경기도,부천시 원미구,중1동,31051641,6841,30264,37.500827,126.76608
경기도,안산시 단원구,호수동,31092730,8629,30136,37.310377,126.831198
경기도,평택시,포승읍,31070130,4378,30030,36.985169,126.85754
서울특별시,송파구,가락본동,11240650,4720,29760,37.497916,127.119878
경기도,화성시,동탄6동,31240700,4727,29619,37.181957,127.088515
서울특별시,서초구,반포4동,11220600,4116,29499,37.499485,127.003332
서울특별시,동대문구,용신동,11060810,6730,29171,37.575552,127.03252
서울특별시,강남구,신사동,11230510,5814,28232,37.526072,127.020177
경기도,파주시,교하동,31200511,5552,27946,37.738889,126.700054
경기도,광주시,초월읍,31250120,7277,27821,37.396864,127.311234
경기도,화성시,우정읍,31240130,3217,27490,37.083374,126.787181
서울특별시,성동구,성수1가2동,11040660,4869,27231,37.548997,127.043679
경기도,고양시 일산동구,고봉동,31103600,6065,26803,37.706726,126.813721
인천광역시,서구,가좌1동,23080620,4712,26686,37.491618,126.662191
경기도,시흥시,정왕2동,31150611,5835,25871,37.340804,126.721602
서울특별시,영등포구,당산1동,11190550,5906,25622,37.523902,126.896768
경기도,용인시 기흥구,서농동,31192550,2047,25529,37.232628,127.079243
서울특별시,영등포구,당산2동,11190560,4244,25227,37.534224,126.902355
경기도,평택시,진위면,31070310,2055,25184,37.10804,127.088116
서울특별시,구로구,구로5동,11170560,4451,25179,37.501885,126.888607
서울특별시,중구,필동,11020570,3555,25095,37.556762,126.994041
서울특별시,금천구,독산1동,11180520,5340,24899,37.464156,126.892431
서울특별시,송파구,방이2동,11240580,4908,24767,37.51322,127.113905
경기도,화성시,장안면,31240390,4128,24580,37.073896,126.840953
경기도,성남시 분당구,야탑1동,31023620,3711,24514,37.413522,127.12591
경기도,부천시 원미구,도당동,31051601,4776,24321,37.513439,126.785498
경기도,광명시,소하1동,31060660,3051,24109,37.444696,126.8907
경기도,수원시 영통구,원천동,31014600,3928,23858,37.273199,127.061467
서울특별시,영등포구,양평1동,11190610,3554,23813,37.525562,126.88649
경기도,시흥시,정왕3동,31150620,5107,23758,37.345453,126.706392
경기도,김포시,통진읍,31230110,5668,23464,37.695992,126.599518
서울특별시,중구,신당동,11020690,11438,22967,37.56576,127.013819
경기도,성남시 분당구,구미동,31023670,2717,22958,37.34265,127.121249
경기도,남양주시,별내동,31130570,7121,22750,37.666343,127.114395
서울특별시,서대문구,충현동,11130730,2818,22726,37.564796,126.958127
서울특별시,양천구,목1동,11150510,3824,22713,37.527534,126.874205
서울특별시,영등포구,양평2동,11190620,3453,22683,37.543672,126.890462
경기도,평택시,청북읍,31070140,3361,22612,37.044873,126.93399
경기도,성남시 분당구,백현동,31023760,2153,22403,37.389692,127.109863
서울특별시,동대문구,장안1동,11060870,6147,22305,37.566225,127.068451
인천광역시,남동구,논현2동,23050730,4088,22219,37.407595,126.70811
경기도,포천시,소흘읍,31270110,6481,22133,37.794313,127.149111
서울특별시,강서구,등촌3동,11160540,3126,21949,37.56112,126.84623
서울특별시,송파구,잠실본동,11240710,4160,21873,37.505975,127.082624
경기도,성남시 분당구,수내1동,31023530,3570,21830,37.379054,127.114831
경기도,평택시,고덕동,31070690,2285,21648,37.04394,127.039275
경기도,광주시,곤지암읍,31250140,4735,21270,37.363858,127.382406
서울특별시,종로구,종로5·6가동,11010630,7541,21257,37.572859,127.004306
인천광역시,서구,신현원창동,23080730,4472,21237,37.51378,126.638045
서울특별시,강남구,도곡2동,11230670,2819,20769,37.490233,127.05191
경기도,의정부시,의정부2동,31030520,4769,20419,37.736079,127.036961
서울특별시,용산구,한남동,11030740,3168,20395,37.537485,127.00514
경기도,고양시 일산서구,대화동,31104570,4545,20367,37.676529,126.748272
경기도,안양시 동안구,호계1동,31042620,5150,20345,37.372643,126.954034
경기도,화성시,마도면,31240350,3104,20256,37.19234,126.762868
서울특별시,송파구,오금동,11240600,3193,20240,37.504036,127.13408
경기도,안산시 단원구,중앙동,31092750,5254,20073,37.325429,126.835907
서울특별시,마포구,공덕동,11140770,3457,19960,37.549581,126.95801
인천광역시,남동구,남촌도림동,23050670,3342,19948,37.425626,126.720872
서울특별시,서초구,방배1동,11220620,2501,19902,37.484834,126.996178
경기도,안양시 만안구,안양7동,31041570,3450,19882,37.389498,126.936594
서울특별시,강동구,상일2동,11250770,444,19877,37.551934,127.177275
서울특별시,마포구,용강동,11140590,3913,19848,37.541471,126.941044
인천광역시,서구,검암경서동,23080510,4696,19813,37.562974,126.655414
경기도,의정부시,의정부1동,31030690,6715,19653,37.741228,127.049028
인천광역시,부평구,부평4동,23060540,4581,19590,37.501482,126.726024
경기도,부천시 원미구,춘의동,31051591,3830,19531,37.502482,126.802697
경기도,평택시,송탄동,31070530,2785,19512,37.045426,127.09582
경기도,용인시 기흥구,구갈동,31192520,6088,19496,37.277485,127.122975
경기도,파주시,탄현면,31200320,4049,19496,37.802307,126.705754
