삼삼ID,매물명,건물유형,방수,시도,시군구,동,인근역,동삼삼매물수,평수,삼삼주당_만원,삼삼월환산_만원,1달예약일,1달막힘일,1달실현수익_만원,네이버월세_만원,네이버관리비_만원,관리비표기여부,네이버월총_만원,네이버보증금_만원,매칭매물수,네이버월총÷삼삼주당,실현효율(1달실현÷네이버월총),현실효율(1달실현÷네이버월세),순수익_만원(1달실현−월세−관리비),건물네이버매물수,건물월세최저_만원,건물월세중간_만원,건물월세최고_만원,네이버건물,네이버링크,삼삼링크
43711,풀 옵션 패밀리 타입,오피스텔,투룸,서울특별시,중구,을지로5가,동대문디자인플리쟈역,40,24,122.0,530.1,26,0,453.1,260,48.0,미표기(평당2만),308.0,2000,3,2.52,1.47,1.74,145.1,8,190,245.0,280,남산푸르지오발라드,https://new.land.naver.com/offices?articleNo=2628691315,https://web.33m2.co.kr/guest/room/43711
67730,삼면 액자🖼️ 한강뷰❤️,오피스텔,원룸,서울특별시,광진구,광장동,강변역,10,16,57.0,247.7,30,0,244.3,67.5,32.0,미표기(평당2만),99.5,1000.0,14,1.75,2.46,3.62,144.8,28,35,70.0,200,현대골든텔2,https://new.land.naver.com/offices?articleNo=2631527789,https://web.33m2.co.kr/guest/room/67730
100772,광안리오션뷰,오피스텔,원룸,부산광역시,수영구,광안동,금련산역,143,14,62.0,269.4,25,0,221.4,52.5,28.0,미표기(평당2만),80.5,500.0,2,1.3,2.75,4.22,140.9,32,50,60.0,125,광안지웰에스테이트,https://new.land.naver.com/offices?articleNo=2628590242,https://web.33m2.co.kr/guest/room/100772
19890,14층,오피스텔,원룸,서울특별시,성동구,도선동,왕십리역,20,12,55.0,239.0,27,0,212.1,50,24.0,미표기(평당2만),74.0,500,1,1.35,2.87,4.24,138.1,6,50,67.5,70,신한넥스텔,https://new.land.naver.com/offices?articleNo=2629705752,https://web.33m2.co.kr/guest/room/19890
98469,📍광명역 방3/화장실2,오피스텔,쓰리룸+,경기도,광명시,일직동,광명역,40,21,65.0,282.4,28,0,260.0,80,42.0,미표기(평당2만),122.0,1000,1,1.88,2.13,3.25,138.0,6,15,67.5,200,K스퀘어,https://new.land.naver.com/offices?articleNo=2631750686,https://web.33m2.co.kr/guest/room/98469
75028,🏡✨문정감성숙소 새단장,오피스텔,투룸,서울특별시,송파구,문정동,장지역,76,15,80.0,347.6,23,0,262.9,95.0,30.0,미표기(평당2만),125.0,1000.0,8,1.56,2.1,2.77,137.9,45,15,55,205,송파파크하비오푸르지오,https://new.land.naver.com/offices?articleNo=2630270546,https://web.33m2.co.kr/guest/room/75028
103395,공덕역 10초❤️풀옵션,오피스텔,원룸,서울특별시,마포구,공덕동,공덕역,53,13,66.0,286.8,26,1,253.6,90.0,26.0,미표기(평당2만),116.0,1000.0,2,1.76,2.19,2.82,137.6,5,90,105,200,마포신영지웰,https://new.land.naver.com/offices?articleNo=2632312592,https://web.33m2.co.kr/guest/room/103395
69713,연희동 로프트Anook,오피스텔,원룸,서울특별시,서대문구,연희동,서울역,23,8,48.0,208.6,30,0,205.7,63,16.0,미표기(평당2만),79.0,500,1,1.65,2.6,3.27,126.7,2,22,42.5,63,정연지오빌II,https://new.land.naver.com/offices?articleNo=2632141205,https://web.33m2.co.kr/guest/room/69713
74074,"남부터미널,서울교대5분",오피스텔,원룸,서울특별시,서초구,서초동,남부터미널역,289,8,53.0,230.3,26,0,196.9,60,16.0,미표기(평당2만),76.0,1000,5,1.43,2.59,3.28,120.9,6,55,60.0,65,동양라디안루키,https://new.land.naver.com/offices?articleNo=2628464086,https://web.33m2.co.kr/guest/room/74074
91190,"설대입구2분,침대2복층",오피스텔,원룸,서울특별시,관악구,봉천동,서울대입구역,171,12,49.0,212.9,29,0,203.0,75.0,7.5,표기,82.5,1000.0,4,1.68,2.46,2.71,120.5,9,65,120,130,에이스에이존,https://new.land.naver.com/offices?articleNo=2632195523,https://web.33m2.co.kr/guest/room/91190
